Species;Abbrevation;Seed mixture - proportion (%);;;;
;;L.nr;M.nr;M.r;I.nr;H.r
Acer campestre;Acer_camp;;;;;
Acer pseudoplatanus;Acer_pseu;;;;;
Achillea millefolium;Achi_mill;0.4;1.2;3.00;1;0.75
Agrimonia eupatoria;Agri_eupa;;0.5;;;3
Agrostis capillaris;Agro_capi;;;;;
Ajuga reptans;Ajug_rept;;;;;
Allium fistulosum;Alli_fist;;;;2;
Anethum graveolens;Anet_grav;1;;;;
Anthoxanthum odoratum;Anth_odor;;;;;3
Anthriscus sylvestris;Anth_sylv;;;2;;
Anthyllis vulneraria;Anth_vuln;;;;;1.13
Arenaria serpyllifolia;Aren_serp;;;;;
Arrhenatherum elatius;Arrh_elat;;;;;1.5
Barbarea vulgaris;Barb_vulg;;0.2;;;1.5
Betonica officinalis;Beto_offi;;;;;1.5
Borago officinalis;Bora_offi;3;;;;
Brassica napus;Bras_napu;;;;;
Bromus erectus;Brom_erec;;;;;3
Calendula officinalis;Cale_offi;;;;6;3
Camelina sativa;Came_sati;5;;;2.9;2
Campanula patula;Camp_patu;;;1;;0.15
Campanula persicifolia;Camp_pers;;;;0.1;
Campanula rapunculoides;Camp_rapu;;;0.5;;
Capsella bursa-pastoris;Caps_burs;;;;;
Carduus nutans;Card_nuta;;;;;0.75
Carum carvi;Caru_carv;4;5;3;;2.63
Centaurea cyanus;Cent_cyan;1.1;2;2;4.2;4.5
Centaurea jacea;Cent_jace;0.5;;3;1;2.25
Centaurea scabiosa;Cent_scab;;0.2;;;
Cerastium arvense;Cera_arve;;;;;
Cichorium intybus;Cich_inty;1;3.2;3;2;1.35
Cirsium arvense;Cirs_arve;;;;;
Cirsium vulgare;Cirs_vulg;;;;;
Clinopodium vulgare;Clin_vulg;;0.1;;;
Coriandrum sativum;Cori_sati;;2.5;;2.9;1.5
Cota tinctoria;Cota_tinc;;0.5;;1;1.5
Crepis biennis;Crep_bien;;;2;;
Cynosurus cristatus;Cyno_cris;;2.1;;;4.5
Dactylis glomerata;Dact_glom;;;;;
Daucus carota;Dauc_caro;0.5;2;3;2;1.5
Dianthus carthusianorum;Dian_cart;;;;;1.13
Dipsacus fullonum;Dips_full;;0.2;3;;
Echium vulgare;Echi_vulg;1;1;5;1.5;1.5
Elymus repens;Elym_repe;;;;;
Epilobium palustre;Epil_palu;;;;;
Epilobium parviflorum;Epil_parv;;;;;
Epilobium tetragonum;Epil_tetr;;;;;
Equisetum arvense;Equi_arve;;;;;
Erigeron annuus;Erig_annu;;;;;
Fagopyrum esculentum;Fago_escu;;10;;8;4
Festuca ovina;Fest_ovin;;;;;
Foeniculum vulgare;Foen_vulg;1.1;2;;;
Fraxinus excelsior;Frax_exce;;;;;
Galium album;Gali_albu;;1.5;3;;
Galium aparine;Gali_apar;;;;;
Galium verum;Gali_veru;;0.5;3;;
Geranium dissectum;Gera_diss;;;;;
Geranium pratense;Gera_prat;;;3;;
Geranium robertianum;Gera_rober;;;;;
Geum urbanum;Geum_urba;;;;;
Glebionis segetum;Gleb_sege;;;;;1.5
Helianthus annuus;Heli_annu;;10;;9;
Holcus lanatus;Holc_lana;;;;;1.5
Hypericum perforatum;Hype_perf;;0.3;;0.5;0.38
Hypochaeris radicata;Hypo_radi;;;;;0.38
Isatis tinctoria;Isat_tinc;;0.3;;3.5;
Knautia arvensis;Knau_arve;;;3;0.4;1.13
Legousia speculum-veneris;Lego_spec;;;1;;
Leucanthemum sp.;Leuc_(vul;1;0.5;3;2.5;2.25
Linaria vulgaris;Lina_vulg;;0.1;;;
Linum perenne;Linu_pere;;;;2.5;
Linum rubrum;Linu_rubr;;;;;2
Linum usitatissimum;Linu_usit;;15;;1.5;3.5
Lolium perenne;Loli_pere;;;;;
Lotus corniculatus;Lotu_corn;7;;3;1.5;0.75
Malva alcea;Malv_alce;;;5;;
Malva moschata;Malv_mosc;;0.6;;0.4;0.75
Malva sylvestris;Malv_sylv;5;;;2;
Medicago lupulina;Medi_lupu;10;;;;
Medicago minima;Medi_mini;;;;;
Medicago sativa;Medi_sati;4;4;;2;1.25
Melilotus albus;Meli_albu;3;;2;0.9;0.38
Melilotus officinalis;Meli_offi;3;2;;0.5;0.38
Myosotis arvensis;Myos_arve;;;0.5;;
Nigella sativa;Nige_sati;0.9;;;;
Oenothera biennis;Oeno_bien;;;;;1.13
Onobrychis viciifolia;Onob_vici;10;6.5;;2.9;3
Origanum vulgare;Orig_vulg;;0.2;;0.2;0.38
Papaver rhoeas;Papa_rhoe;;2;1;1.7;1.87
Pastinaca sativa;Past_sati;;1;3;1;1.5
Phacelia tanacetifolia;Phac_tana;5.5;5.5;;5;2.5
Phleum pratense;Phle_prat;;;;;
Pimpinella major;Pimp_majo;;;3;;
Plantago lanceolata;Plan_lanc;1;3.5;;2;1.5
Plantago major;Plan_majo;;;;;
Plantago media;Plan_medi;;0.2;;;
Poa annua;Poa _annu;;;;;
Poa pratensis;Poa _prat;;;;;
Poa trivialis;Poa _triv;;;;;
Prunella vulgaris;Prun_vulg;;0.2;2;;1.13
Ranunculus acris;Ranu_acri;;;;;
Ranunculus repens;Ranu_repe;;;;;
Reseda luteola;Rese_lute;;0.5;;0.3;0.38
Rumex crispus;Rume_cris;;;;;
Rumex obtusifolius;Rume_obtu;;;;;
Salix caprea;Sali_capr;;;;;
Salvia pratensis;Salv_prat;;2.5;3;1.2;3.75
Sanguisorba minor;Sang_mino;1;2;3;2;1.12
Sanguisorba officinalis;Sang_offi;;;2.5;;
Saponaria officinalis;Sapo_offi;;;;0.5;0.75
Scorzoneroides autumnalis;Scor_autu;;;;;0.38
Sherardia arvensis;Sher_arve;;;3;;
Silene dioica;Sile_dioi;;;2;0.8;2.25
Silene flos-cuculi;Sile_flos;;;2;;1.13
Silene latifolia;Sile_lati;;0.4;2;0.8;1.13
Silene vulgaris;Sile_vulg;;1.8;3;1.3;1.5
Sinapis alba;Sina_alba;;;;2;1.5
Sinapis arvensis;Sina_arve;;;;1;
Solidago virgaurea;Soli_virg;;;;0.2;
Sonchus asper;Sonc_aspe;;;;;
Stellaria media;Stel_medi;;;;;
Tanacetum vulgare;Tana_vulg;;;0.5;0.1;
Taraxacum officinale;Tara_offi;;;;;
Tragopogon pratensis;Trag_prat;;;2;;1.5
Trifolium hybridum;Trif_hybr;10;;;;
Trifolium incarnatum;Trif_inca;;;;4;1.25
Trifolium pratense;Trif_prat;10;;3;;1.13
Trifolium repens;Trif_repe;10;;3;;
Trisetum flavescens;Tris_flav;;;;;1.5
Tussilago farfara;Tuss_farf;;;;;
Urtica dioica;Urti_dioi;;;;;
Valeriana dentata;Vale_dent;;;1.5;;
Valeriana rimosa;Vale_rimo;;;1.5;;
Verbascum densiflorum;Verb_dens;;;;0.6;
Verbascum lychnitis;Verb_lych;;0.2;;;
Verbascum nigrum;Verb_nigr;;;;0.5;0.75
Verbascum thapsus;Verb_thap;;;2;;
Veronica arvensis;Vero_arve;;;;;
Veronica chamaedrys;Vero_cham;;;;;
Veronica hederifolia;Vero_hede;;;;;
Veronica persica;Vero_pers;;;;;
Vicia cracca;Vici_crac;;;;;0.75
Vicia sativa;Vici_sati;;6.3;;5;2.5
Viola arvensis;Viol_arve;;;;;
Viola tricolor;Viol_tric;;;;;
