nr;code;sampling_period;sampling_year;seed_mixture;number_seed_mix;year_mix_group;seed_density;replication;id;DensityBlock;GrownBlock;spec_nr
61;01_A1y21;EarlySummer21;2021;L.nr;1;1;1;1;1;D01;1;20
62;24_A1y21;EarlySummer21;2021;L.nr;1;1;1;2;24;D08;9;13
63;38_A1y21;EarlySummer21;2021;L.nr;1;1;1;3;38;D14;13;7
64;57_A1y21;EarlySummer21;2021;L.nr;1;1;1;4;57;D17;18;12
65;03_A2y21;EarlySummer21;2021;L.nr;1;1;2;1;3;D01;2;19
66;21_A2y21;EarlySummer21;2021;L.nr;1;1;2;2;21;D08;8;12
67;46_A2y21;EarlySummer21;2021;L.nr;1;1;2;3;46;D14;15;13
68;53_A2y21;EarlySummer21;2021;L.nr;1;1;2;4;53;D17;17;12
69;05_A3y21;EarlySummer21;2021;L.nr;1;1;3;1;5;D01;3;19
70;18_A3y21;EarlySummer21;2021;L.nr;1;1;3;2;18;D08;7;12
71;42_A3y21;EarlySummer21;2021;L.nr;1;1;3;3;42;D14;14;15
72;49_A3y21;EarlySummer21;2021;L.nr;1;1;3;4;49;D17;16;13
73;15_B1y21;EarlySummer21;2021;I.nr;4;4;1;1;15;D05;6;16
74;17_B1y21;EarlySummer21;2021;I.nr;4;4;1;2;17;D07;7;11
75;33_B1y21;EarlySummer21;2021;I.nr;4;4;1;3;33;D09;12;13
76;39_B1y21;EarlySummer21;2021;I.nr;4;4;1;4;39;D15;13;11
77;12_B2y21;EarlySummer21;2021;I.nr;4;4;2;1;12;D05;5;11
78;20_B2y21;EarlySummer21;2021;I.nr;4;4;2;2;20;D07;8;17
79;29_B2y21;EarlySummer21;2021;I.nr;4;4;2;3;29;D09;11;12
80;47_B2y21;EarlySummer21;2021;I.nr;4;4;2;4;47;D15;15;14
81;09_B3y21;EarlySummer21;2021;I.nr;4;4;3;1;9;D05;4;10
82;23_B3y21;EarlySummer21;2021;I.nr;4;4;3;2;23;D07;9;10
83;25_B3y21;EarlySummer21;2021;I.nr;4;4;3;3;25;D09;10;7
84;43_B3y21;EarlySummer21;2021;I.nr;4;4;3;4;43;D15;14;9
85;08_C1y21;EarlySummer21;2021;M.nr;2;2;1;1;8;D04;4;23
86;35_C1y21;EarlySummer21;2021;M.nr;2;2;1;2;35;D11;12;12
87;37_C1y21;EarlySummer21;2021;M.nr;2;2;1;3;37;D13;13;17
88;59_C1y21;EarlySummer21;2021;M.nr;2;2;1;4;59;D19;18;18
89;14_C2y21;EarlySummer21;2021;M.nr;2;2;2;1;14;D04;6;20
90;27_C2y21;EarlySummer21;2021;M.nr;2;2;2;2;27;D11;10;19
91;41_C2y21;EarlySummer21;2021;M.nr;2;2;2;3;41;D13;14;15
92;55_C2y21;EarlySummer21;2021;M.nr;2;2;2;4;55;D19;17;18
93;11_C3y21;EarlySummer21;2021;M.nr;2;2;3;1;11;D04;5;17
94;31_C3y21;EarlySummer21;2021;M.nr;2;2;3;2;31;D11;11;14
95;45_C3y21;EarlySummer21;2021;M.nr;2;2;3;3;45;D13;15;8
96;51_C3y21;EarlySummer21;2021;M.nr;2;2;3;4;51;D19;16;12
97;16_D1y21;EarlySummer21;2021;M.r;3;3;1;1;16;D06;7;17
98;28_D1y21;EarlySummer21;2021;M.r;3;3;1;2;28;D12;10;12
99;48_D1y21;EarlySummer21;2021;M.r;3;3;1;3;48;D16;15;15
100;50_D1y21;EarlySummer21;2021;M.r;3;3;1;4;50;D18;16;15
101;19_D2y21;EarlySummer21;2021;M.r;3;3;2;1;19;D06;8;11
102;36_D2y21;EarlySummer21;2021;M.r;3;3;2;2;36;D12;12;14
103;44_D2y21;EarlySummer21;2021;M.r;3;3;2;3;44;D16;14;12
104;54_D2y21;EarlySummer21;2021;M.r;3;3;2;4;54;D18;17;8
105;22_D3y21;EarlySummer21;2021;M.r;3;3;3;1;22;D06;9;14
106;32_D3y21;EarlySummer21;2021;M.r;3;3;3;2;32;D12;11;14
107;40_D3y21;EarlySummer21;2021;M.r;3;3;3;3;40;D16;13;11
108;58_D3y21;EarlySummer21;2021;M.r;3;3;3;4;58;D18;18;9
109;02_E1y21;EarlySummer21;2021;H.r;5;5;1;1;2;D02;1;22
110;13_E1y21;EarlySummer21;2021;H.r;5;5;1;2;13;D03;6;17
111;26_E1y21;EarlySummer21;2021;H.r;5;5;1;3;26;D10;10;19
112;52_E1y21;EarlySummer21;2021;H.r;5;5;1;4;52;D20;16;20
113;04_E2y21;EarlySummer21;2021;H.r;5;5;2;1;4;D02;2;17
114;07_E2y21;EarlySummer21;2021;H.r;5;5;2;2;7;D03;4;19
115;30_E2y21;EarlySummer21;2021;H.r;5;5;2;3;30;D10;11;19
116;56_E2y21;EarlySummer21;2021;H.r;5;5;2;4;56;D20;17;15
117;06_E3y21;EarlySummer21;2021;H.r;5;5;3;1;6;D02;3;13
118;10_E3y21;EarlySummer21;2021;H.r;5;5;3;2;10;D03;5;15
119;34_E3y21;EarlySummer21;2021;H.r;5;5;3;3;34;D10;12;10
120;60_E3y21;EarlySummer21;2021;H.r;5;5;3;4;60;D20;18;11
121;01_A1z21;LateSummer21;2021;L.nr;1;1;1;1;1;D01;1;12
122;24_A1z21;LateSummer21;2021;L.nr;1;1;1;2;24;D08;9;6
123;38_A1z21;LateSummer21;2021;L.nr;1;1;1;3;38;D14;13;3
124;57_A1z21;LateSummer21;2021;L.nr;1;1;1;4;57;D17;18;5
125;03_A2z21;LateSummer21;2021;L.nr;1;1;2;1;3;D01;2;6
126;21_A2z21;LateSummer21;2021;L.nr;1;1;2;2;21;D08;8;5
127;46_A2z21;LateSummer21;2021;L.nr;1;1;2;3;46;D14;15;2
128;53_A2z21;LateSummer21;2021;L.nr;1;1;2;4;53;D17;17;5
129;05_A3z21;LateSummer21;2021;L.nr;1;1;3;1;5;D01;3;11
130;18_A3z21;LateSummer21;2021;L.nr;1;1;3;2;18;D08;7;6
131;42_A3z21;LateSummer21;2021;L.nr;1;1;3;3;42;D14;14;5
132;49_A3z21;LateSummer21;2021;L.nr;1;1;3;4;49;D17;16;5
133;15_B1z21;LateSummer21;2021;I.nr;4;4;1;1;15;D05;6;13
134;17_B1z21;LateSummer21;2021;I.nr;4;4;1;2;17;D07;7;9
135;33_B1z21;LateSummer21;2021;I.nr;4;4;1;3;33;D09;12;11
136;39_B1z21;LateSummer21;2021;I.nr;4;4;1;4;39;D15;13;9
137;12_B2z21;LateSummer21;2021;I.nr;4;4;2;1;12;D05;5;10
138;20_B2z21;LateSummer21;2021;I.nr;4;4;2;2;20;D07;8;11
139;29_B2z21;LateSummer21;2021;I.nr;4;4;2;3;29;D09;11;12
140;47_B2z21;LateSummer21;2021;I.nr;4;4;2;4;47;D15;15;10
141;09_B3z21;LateSummer21;2021;I.nr;4;4;3;1;9;D05;4;12
142;23_B3z21;LateSummer21;2021;I.nr;4;4;3;2;23;D07;9;11
143;25_B3z21;LateSummer21;2021;I.nr;4;4;3;3;25;D09;10;8
144;43_B3z21;LateSummer21;2021;I.nr;4;4;3;4;43;D15;14;9
145;08_C1z21;LateSummer21;2021;M.nr;2;2;1;1;8;D04;4;12
146;35_C1z21;LateSummer21;2021;M.nr;2;2;1;2;35;D11;12;13
147;37_C1z21;LateSummer21;2021;M.nr;2;2;1;3;37;D13;13;10
148;59_C1z21;LateSummer21;2021;M.nr;2;2;1;4;59;D19;18;12
149;14_C2z21;LateSummer21;2021;M.nr;2;2;2;1;14;D04;6;10
150;27_C2z21;LateSummer21;2021;M.nr;2;2;2;2;27;D11;10;9
151;41_C2z21;LateSummer21;2021;M.nr;2;2;2;3;41;D13;14;10
152;55_C2z21;LateSummer21;2021;M.nr;2;2;2;4;55;D19;17;11
153;11_C3z21;LateSummer21;2021;M.nr;2;2;3;1;11;D04;5;8
154;31_C3z21;LateSummer21;2021;M.nr;2;2;3;2;31;D11;11;6
155;45_C3z21;LateSummer21;2021;M.nr;2;2;3;3;45;D13;15;5
156;51_C3z21;LateSummer21;2021;M.nr;2;2;3;4;51;D19;16;8
157;16_D1z21;LateSummer21;2021;M.r;3;3;1;1;16;D06;7;12
158;28_D1z21;LateSummer21;2021;M.r;3;3;1;2;28;D12;10;10
159;48_D1z21;LateSummer21;2021;M.r;3;3;1;3;48;D16;15;10
160;50_D1z21;LateSummer21;2021;M.r;3;3;1;4;50;D18;16;7
161;19_D2z21;LateSummer21;2021;M.r;3;3;2;1;19;D06;8;13
162;36_D2z21;LateSummer21;2021;M.r;3;3;2;2;36;D12;12;13
163;44_D2z21;LateSummer21;2021;M.r;3;3;2;3;44;D16;14;16
164;54_D2z21;LateSummer21;2021;M.r;3;3;2;4;54;D18;17;15
165;22_D3z21;LateSummer21;2021;M.r;3;3;3;1;22;D06;9;8
166;32_D3z21;LateSummer21;2021;M.r;3;3;3;2;32;D12;11;9
167;40_D3z21;LateSummer21;2021;M.r;3;3;3;3;40;D16;13;9
168;58_D3z21;LateSummer21;2021;M.r;3;3;3;4;58;D18;18;6
169;02_E1z21;LateSummer21;2021;H.r;5;5;1;1;2;D02;1;10
170;13_E1z21;LateSummer21;2021;H.r;5;5;1;2;13;D03;6;9
171;26_E1z21;LateSummer21;2021;H.r;5;5;1;3;26;D10;10;8
172;52_E1z21;LateSummer21;2021;H.r;5;5;1;4;52;D20;16;9
173;04_E2z21;LateSummer21;2021;H.r;5;5;2;1;4;D02;2;11
174;07_E2z21;LateSummer21;2021;H.r;5;5;2;2;7;D03;4;10
175;30_E2z21;LateSummer21;2021;H.r;5;5;2;3;30;D10;11;10
176;56_E2z21;LateSummer21;2021;H.r;5;5;2;4;56;D20;17;8
177;06_E3z21;LateSummer21;2021;H.r;5;5;3;1;6;D02;3;8
178;10_E3z21;LateSummer21;2021;H.r;5;5;3;2;10;D03;5;10
179;34_E3z21;LateSummer21;2021;H.r;5;5;3;3;34;D10;12;10
180;60_E3z21;LateSummer21;2021;H.r;5;5;3;4;60;D20;18;9
181;01_A1x24;EarlySummer24;2024;L.nr;1;6;1;1;1;D01;1;7
182;24_A1x24;EarlySummer24;2024;L.nr;1;6;1;2;24;D08;9;9
183;38_A1x24;EarlySummer24;2024;L.nr;1;6;1;3;38;D14;13;11
184;57_A1x24;EarlySummer24;2024;L.nr;1;6;1;4;57;D17;18;12
185;03_A2x24;EarlySummer24;2024;L.nr;1;6;2;1;3;D01;2;4
186;21_A2x24;EarlySummer24;2024;L.nr;1;6;2;2;21;D08;8;7
187;46_A2x24;EarlySummer24;2024;L.nr;1;6;2;3;46;D14;15;11
188;53_A2x24;EarlySummer24;2024;L.nr;1;6;2;4;53;D17;17;8
189;05_A3x24;EarlySummer24;2024;L.nr;1;6;3;1;5;D01;3;8
190;18_A3x24;EarlySummer24;2024;L.nr;1;6;3;2;18;D08;7;7
191;42_A3x24;EarlySummer24;2024;L.nr;1;6;3;3;42;D14;14;11
192;49_A3x24;EarlySummer24;2024;L.nr;1;6;3;4;49;D17;16;12
193;15_B1x24;EarlySummer24;2024;I.nr;4;9;1;1;15;D05;6;14
194;17_B1x24;EarlySummer24;2024;I.nr;4;9;1;2;17;D07;7;13
195;33_B1x24;EarlySummer24;2024;I.nr;4;9;1;3;33;D09;12;15
196;39_B1x24;EarlySummer24;2024;I.nr;4;9;1;4;39;D15;13;13
197;12_B2x24;EarlySummer24;2024;I.nr;4;9;2;1;12;D05;5;11
198;20_B2x24;EarlySummer24;2024;I.nr;4;9;2;2;20;D07;8;12
199;29_B2x24;EarlySummer24;2024;I.nr;4;9;2;3;29;D09;11;14
200;47_B2x24;EarlySummer24;2024;I.nr;4;9;2;4;47;D15;15;20
201;09_B3x24;EarlySummer24;2024;I.nr;4;9;3;1;9;D05;4;14
202;23_B3x24;EarlySummer24;2024;I.nr;4;9;3;2;23;D07;9;17
203;25_B3x24;EarlySummer24;2024;I.nr;4;9;3;3;25;D09;10;17
204;43_B3x24;EarlySummer24;2024;I.nr;4;9;3;4;43;D15;14;15
205;08_C1x24;EarlySummer24;2024;M.nr;2;7;1;1;8;D04;4;18
206;35_C1x24;EarlySummer24;2024;M.nr;2;7;1;2;35;D11;12;19
207;37_C1x24;EarlySummer24;2024;M.nr;2;7;1;3;37;D13;13;20
208;59_C1x24;EarlySummer24;2024;M.nr;2;7;1;4;59;D19;18;12
209;14_C2x24;EarlySummer24;2024;M.nr;2;7;2;1;14;D04;6;14
210;27_C2x24;EarlySummer24;2024;M.nr;2;7;2;2;27;D11;10;17
211;41_C2x24;EarlySummer24;2024;M.nr;2;7;2;3;41;D13;14;17
212;55_C2x24;EarlySummer24;2024;M.nr;2;7;2;4;55;D19;17;12
213;11_C3x24;EarlySummer24;2024;M.nr;2;7;3;1;11;D04;5;15
214;31_C3x24;EarlySummer24;2024;M.nr;2;7;3;2;31;D11;11;17
215;45_C3x24;EarlySummer24;2024;M.nr;2;7;3;3;45;D13;15;12
216;51_C3x24;EarlySummer24;2024;M.nr;2;7;3;4;51;D19;16;14
217;16_D1x24;EarlySummer24;2024;M.r;3;8;1;1;16;D06;7;10
218;28_D1x24;EarlySummer24;2024;M.r;3;8;1;2;28;D12;10;11
219;48_D1x24;EarlySummer24;2024;M.r;3;8;1;3;48;D16;15;8
220;50_D1x24;EarlySummer24;2024;M.r;3;8;1;4;50;D18;16;12
221;19_D2x24;EarlySummer24;2024;M.r;3;8;2;1;19;D06;8;12
222;36_D2x24;EarlySummer24;2024;M.r;3;8;2;2;36;D12;12;18
223;44_D2x24;EarlySummer24;2024;M.r;3;8;2;3;44;D16;14;10
224;54_D2x24;EarlySummer24;2024;M.r;3;8;2;4;54;D18;17;9
225;22_D3x24;EarlySummer24;2024;M.r;3;8;3;1;22;D06;9;17
226;32_D3x24;EarlySummer24;2024;M.r;3;8;3;2;32;D12;11;11
227;40_D3x24;EarlySummer24;2024;M.r;3;8;3;3;40;D16;13;14
228;58_D3x24;EarlySummer24;2024;M.r;3;8;3;4;58;D18;18;10
229;02_E1x24;EarlySummer24;2024;H.r;5;10;1;1;2;D02;1;10
230;13_E1x24;EarlySummer24;2024;H.r;5;10;1;2;13;D03;6;12
231;26_E1x24;EarlySummer24;2024;H.r;5;10;1;3;26;D10;10;13
232;52_E1x24;EarlySummer24;2024;H.r;5;10;1;4;52;D20;16;6
233;04_E2x24;EarlySummer24;2024;H.r;5;10;2;1;4;D02;2;7
234;07_E2x24;EarlySummer24;2024;H.r;5;10;2;2;7;D03;4;15
235;30_E2x24;EarlySummer24;2024;H.r;5;10;2;3;30;D10;11;14
236;56_E2x24;EarlySummer24;2024;H.r;5;10;2;4;56;D20;17;9
237;06_E3x24;EarlySummer24;2024;H.r;5;10;3;1;6;D02;3;5
238;10_E3x24;EarlySummer24;2024;H.r;5;10;3;2;10;D03;5;11
239;34_E3x24;EarlySummer24;2024;H.r;5;10;3;3;34;D10;12;12
240;60_E3x24;EarlySummer24;2024;H.r;5;10;3;4;60;D20;18;4
241;01_A1y24;LateSummer24;2024;L.nr;1;6;1;1;1;D01;1;8
242;24_A1y24;LateSummer24;2024;L.nr;1;6;1;2;24;D08;9;9
243;38_A1y24;LateSummer24;2024;L.nr;1;6;1;3;38;D14;13;12
244;57_A1y24;LateSummer24;2024;L.nr;1;6;1;4;57;D17;18;5
245;03_A2y24;LateSummer24;2024;L.nr;1;6;2;1;3;D01;2;7
246;21_A2y24;LateSummer24;2024;L.nr;1;6;2;2;21;D08;8;5
247;46_A2y24;LateSummer24;2024;L.nr;1;6;2;3;46;D14;15;9
248;53_A2y24;LateSummer24;2024;L.nr;1;6;2;4;53;D17;17;10
249;05_A3y24;LateSummer24;2024;L.nr;1;6;3;1;5;D01;3;7
250;18_A3y24;LateSummer24;2024;L.nr;1;6;3;2;18;D08;7;7
251;42_A3y24;LateSummer24;2024;L.nr;1;6;3;3;42;D14;14;7
252;49_A3y24;LateSummer24;2024;L.nr;1;6;3;4;49;D17;16;8
253;15_B1y24;LateSummer24;2024;I.nr;4;9;1;1;15;D05;6;12
254;17_B1y24;LateSummer24;2024;I.nr;4;9;1;2;17;D07;7;10
255;33_B1y24;LateSummer24;2024;I.nr;4;9;1;3;33;D09;12;17
256;39_B1y24;LateSummer24;2024;I.nr;4;9;1;4;39;D15;13;12
257;12_B2y24;LateSummer24;2024;I.nr;4;9;2;1;12;D05;5;13
258;20_B2y24;LateSummer24;2024;I.nr;4;9;2;2;20;D07;8;12
259;29_B2y24;LateSummer24;2024;I.nr;4;9;2;3;29;D09;11;16
260;47_B2y24;LateSummer24;2024;I.nr;4;9;2;4;47;D15;15;16
261;09_B3y24;LateSummer24;2024;I.nr;4;9;3;1;9;D05;4;9
262;23_B3y24;LateSummer24;2024;I.nr;4;9;3;2;23;D07;9;13
263;25_B3y24;LateSummer24;2024;I.nr;4;9;3;3;25;D09;10;22
264;43_B3y24;LateSummer24;2024;I.nr;4;9;3;4;43;D15;14;18
265;08_C1y24;LateSummer24;2024;M.nr;2;7;1;1;8;D04;4;14
266;35_C1y24;LateSummer24;2024;M.nr;2;7;1;2;35;D11;12;13
267;37_C1y24;LateSummer24;2024;M.nr;2;7;1;3;37;D13;13;17
268;59_C1y24;LateSummer24;2024;M.nr;2;7;1;4;59;D19;18;8
269;14_C2y24;LateSummer24;2024;M.nr;2;7;2;1;14;D04;6;12
270;27_C2y24;LateSummer24;2024;M.nr;2;7;2;2;27;D11;10;15
271;41_C2y24;LateSummer24;2024;M.nr;2;7;2;3;41;D13;14;16
272;55_C2y24;LateSummer24;2024;M.nr;2;7;2;4;55;D19;17;10
273;11_C3y24;LateSummer24;2024;M.nr;2;7;3;1;11;D04;5;13
274;31_C3y24;LateSummer24;2024;M.nr;2;7;3;2;31;D11;11;17
275;45_C3y24;LateSummer24;2024;M.nr;2;7;3;3;45;D13;15;12
276;51_C3y24;LateSummer24;2024;M.nr;2;7;3;4;51;D19;16;9
277;16_D1y24;LateSummer24;2024;M.r;3;8;1;1;16;D06;7;8
278;28_D1y24;LateSummer24;2024;M.r;3;8;1;2;28;D12;10;10
279;48_D1y24;LateSummer24;2024;M.r;3;8;1;3;48;D16;15;11
280;50_D1y24;LateSummer24;2024;M.r;3;8;1;4;50;D18;16;9
281;19_D2y24;LateSummer24;2024;M.r;3;8;2;1;19;D06;8;12
282;36_D2y24;LateSummer24;2024;M.r;3;8;2;2;36;D12;12;10
283;44_D2y24;LateSummer24;2024;M.r;3;8;2;3;44;D16;14;11
284;54_D2y24;LateSummer24;2024;M.r;3;8;2;4;54;D18;17;11
285;22_D3y24;LateSummer24;2024;M.r;3;8;3;1;22;D06;9;14
286;32_D3y24;LateSummer24;2024;M.r;3;8;3;2;32;D12;11;12
287;40_D3y24;LateSummer24;2024;M.r;3;8;3;3;40;D16;13;11
288;58_D3y24;LateSummer24;2024;M.r;3;8;3;4;58;D18;18;11
289;02_E1y24;LateSummer24;2024;H.r;5;10;1;1;2;D02;1;9
290;13_E1y24;LateSummer24;2024;H.r;5;10;1;2;13;D03;6;11
291;26_E1y24;LateSummer24;2024;H.r;5;10;1;3;26;D10;10;13
292;52_E1y24;LateSummer24;2024;H.r;5;10;1;4;52;D20;16;5
293;04_E2y24;LateSummer24;2024;H.r;5;10;2;1;4;D02;2;4
294;07_E2y24;LateSummer24;2024;H.r;5;10;2;2;7;D03;4;9
295;30_E2y24;LateSummer24;2024;H.r;5;10;2;3;30;D10;11;13
296;56_E2y24;LateSummer24;2024;H.r;5;10;2;4;56;D20;17;7
297;06_E3y24;LateSummer24;2024;H.r;5;10;3;1;6;D02;3;4
298;10_E3y24;LateSummer24;2024;H.r;5;10;3;2;10;D03;5;7
299;34_E3y24;LateSummer24;2024;H.r;5;10;3;3;34;D10;12;13
300;60_E3y24;LateSummer24;2024;H.r;5;10;3;4;60;D20;18;11
